video_uid,title,description,paid,channel_id,duration,duration_str,duration_secs,views,date_published,date_upload,genre,tags,likes,channel_name,channel_subscriber_base,channel_url,channel_uid,updated_on
z5AIMF1BjOE,Drew House TOKYO #shorts,Follow Justin: http://facebook.com/justinbieberhttp://twitter.com/justinbieberhttp://instagram.com/justinbieber Sign up for Justin’s newsletter: http://justi...,False,UCIwFjwMjI0y7PDBVEO9-bkQ,PT0M42S,00:00:42,42,67052,2022-11-21,2022-11-21,Music,"justin, bieber, justinbieber, purpose, myworld, journals, baby, yummy, believe, never say never, under the mistletoe, 10000 hours, i dont care, sorry, love yourself, let me love you, im the one, no brainer, cold water, beauty and a beat, what do you mean, as long as you love me, boyfriend, justice, hold on, peaches, anyone, stuck with u, freedom",10817,Justin Bieber,70.5 million subscribers,https://www.youtube.com/UCIwFjwMjI0y7PDBVEO9-bkQ,UCIwFjwMjI0y7PDBVEO9-bkQ,2022-11-22
_lpSCOZ1PCo,Justin Bieber X Free Fire - Beautiful Love (Free Fire) [Official Video],The official “Beautiful Love (Free Fire)” music video by Justin Bieber & Garena Free Fire. Listen & download “Beautiful Love (Free Fire)” here: https://justi...,False,UCIwFjwMjI0y7PDBVEO9-bkQ,PT3M33S,00:03:33,213,2636472,2022-09-18,2022-09-18,Music,"justin, bieber, justinbieber, purpose, myworld, journals, baby, yummy, believe, never say never, under the mistletoe, 10000 hours, i dont care, sorry, love yourself, let me love you, im the one, no brainer, cold water, beauty and a beat, what do you mean, as long as you love me, boyfriend, justice, hold on, peaches, anyone, stuck with u, freedom, Beautiful love, Free Fire, Garena, 5 anniversary",169385,Justin Bieber,70.5 million subscribers,https://www.youtube.com/UCIwFjwMjI0y7PDBVEO9-bkQ,UCIwFjwMjI0y7PDBVEO9-bkQ,2022-11-22
ZMH9AMwAk34,"Justin Bieber, Don Toliver - The Making of 'Honest' (Vevo Footnotes)","Justin Bieber ft. Don Toliver  - The Making of 'Honest' (Vevo Footnotes)A little James Bond action, a little Hype Williams artistic eye, a lot of Bieber insp...",False,UCHkj014U2CQ2Nv0UZeYpE_A,PT3M32S,00:03:32,212,2190281,2022-06-15,2022-06-15,Music,"Justin, Bieber, Don, Toliver, Honest, (The, Making, ‘Honest’, Vevo, Footnotes), 2021, PS/, Def, Jam, Pop",75280,JustinBieberVEVO,70.5 million subscribers,https://www.youtube.com/UCHkj014U2CQ2Nv0UZeYpE_A,UCHkj014U2CQ2Nv0UZeYpE_A,2022-11-22
jur26nGiqOY,Justin Bieber - Honest (feat. Don Toliver) (Official Lyric Video),The official “Honest” lyric video by Justin Bieber & Don Toliver. Listen & download “Honest” here: http://justinbieber.lnk.to/honestYD ►Shop Merch: http://ju...,False,UCIwFjwMjI0y7PDBVEO9-bkQ,PT3M14S,00:03:14,194,1902188,2022-04-29,2022-04-29,Music,"honest lyrics, honest lyrics justin bieber, justin bieber lyrics, lyrics justin bieber, lyrics justin, justin bieber music video, honest music video, justin bieber honest music video, justin bieber don toliver honest, honest justin bieber don toliver, justin bieber, bieber justin, justin, honest, justin honest, don toliver honest, justin bieber don toliver, your modest i like it, don toliver music video, honest lyric video, justin bieber honest lyric video",76312,Justin Bieber,70.5 million subscribers,https://www.youtube.com/UCIwFjwMjI0y7PDBVEO9-bkQ,UCIwFjwMjI0y7PDBVEO9-bkQ,2022-11-22
n1khwOk5dN8,Justin Bieber - Honest ft. Don Toliver,The official “Honest” music video by Justin Bieber & Don Toliver. Listen & download “Honest” here: http://justinbieber.lnk.to/honestYD ►Shop Merch: http://ju...,False,UCHkj014U2CQ2Nv0UZeYpE_A,PT3M32S,00:03:32,212,28218648,2022-04-28,2022-04-28,Music,"honest lyrics, honest lyrics justin bieber, justin bieber lyrics, lyrics justin bieber, lyrics justin, justin bieber music video, honest music video, justin bieber honest music video, justin bieber don toliver honest, honest justin bieber don toliver, justin bieber, bieber justin, justin, honest, justin honest, don toliver honest, justin bieber don toliver, your modest like it, don toliver music video, ジャスティン・ビーバー, 저스틴 비버, 小賈斯汀, 贾斯汀比伯",546855,JustinBieberVEVO,70.5 million subscribers,https://www.youtube.com/UCHkj014U2CQ2Nv0UZeYpE_A,UCHkj014U2CQ2Nv0UZeYpE_A,2022-11-22
5MQzBE-KJVY,Justin Bieber - The Justice Tour Represents Equality for ALL,Join Justin Bieber on the Justice Tour: https://www.justinbiebermusic.com/tour🎥:: https://www.instagram.com/evanpaterakis/Follow all the action on the Offic...,False,UCIwFjwMjI0y7PDBVEO9-bkQ,PT3M24S,00:03:24,204,1173485,2022-03-09,2022-03-09,Music,"justin, bieber, justinbieber, purpose, myworld, journals, baby, yummy, believe, never say never, under the mistletoe, 10000 hours, i dont care, sorry, love yourself, let me love you, im the one, no brainer, cold water, beauty and a beat, what do you mean, as long as you love me, boyfriend, justice, hold on, peaches, anyone, stuck with u, freedom, Justice Tour, Justice World Tour",68277,Justin Bieber,70.5 million subscribers,https://www.youtube.com/UCIwFjwMjI0y7PDBVEO9-bkQ,UCIwFjwMjI0y7PDBVEO9-bkQ,2022-11-22
kF4QRGQM2ig,Justin Bieber & Omah Lay - Attention (Official Video),"Listen to Omah Lay & Justin Bieber's ""Attention"" out now: https://omahlay.lnk.to/AttentionFollow Justin: http://facebook.com/justinbieberhttp://twitter.com/j...",False,UCIwFjwMjI0y7PDBVEO9-bkQ,PT3M8S,00:03:08,188,8576778,2022-03-03,2022-03-03,Music,"justin, bieber, justinbieber, purpose, myworld, journals, baby, yummy, believe, never say never, under the mistletoe, sorry, love yourself, beauty and a beat, what do you mean, as long as you love me, boyfriend, justice, hold on, peaches, anyone, stuck with u, freedom, omah lay music, omah lay videos, omah lay free my mind, omah lay lyrics, omah lay understand, omah lay justin bieber, omah lay attention, justin bieber attention, justin bieber video, justin bieber feature, afrobeat, pop music",325433,Justin Bieber,70.5 million subscribers,https://www.youtube.com/UCIwFjwMjI0y7PDBVEO9-bkQ,UCIwFjwMjI0y7PDBVEO9-bkQ,2022-11-22
QrV1I0L5rqQ,Justin Bieber - Only Thing I Ever Get For Christmas (Lyric Video),In Honor of the tenth anniversary of Under The Mistletoe enjoy this visual album! Listen to Under The Mistletoe Here: https://JustinBieber.lnk.to/UnderTheMis...,False,UCHkj014U2CQ2Nv0UZeYpE_A,PT3M13S,00:03:13,193,2350471,2021-12-15,2021-12-15,Music,"justin bieber, justin bieber only thing i ever get for christmas, only thing i ever get for christmas, only thing i ever get for christmas justin bieber, only thing i ever get for christmas lyric video, justin bieber only thing i ever get for christmas official lyric video, only thing i ever get for christmas official lyric video, justin bieber under the mistletoe, under the mistletoe, under the mistletoe visual album, christmas music, holiday",77575,JustinBieberVEVO,70.5 million subscribers,https://www.youtube.com/UCHkj014U2CQ2Nv0UZeYpE_A,UCHkj014U2CQ2Nv0UZeYpE_A,2022-11-22
qy-1tyX9_QU,Justin Bieber - Silent Night (Lyric Video),In Honor of the tenth anniversary of Under The Mistletoe enjoy this visual album! Listen to Under The Mistletoe Here: https://JustinBieber.lnk.to/UnderTheMis...,False,UCHkj014U2CQ2Nv0UZeYpE_A,PT2M50S,00:02:50,170,879062,2021-12-15,2021-12-15,Music,"justin bieber, justin bieber silent night, silent night, silent night by justin bieber, justin bieber silent night lyric video, justin bieber silent night lyrics, justin bieber silent night official, justin bieber christmas music, justin bieber christmas album, justin bieber under the mistletoe, under the mistletoe by justin bieber, under the mistletoe, justin bieber holiday, christmas music, christmas, holiday, christmas songs",40726,JustinBieberVEVO,70.5 million subscribers,https://www.youtube.com/UCHkj014U2CQ2Nv0UZeYpE_A,UCHkj014U2CQ2Nv0UZeYpE_A,2022-11-22
f5wl2uo8dGU,Justin Bieber - Christmas Eve (Lyric Video),In Honor of the tenth anniversary of Under The Mistletoe enjoy this visual album! Listen to Under The Mistletoe Here: https://JustinBieber.lnk.to/UnderTheMis...,False,UCHkj014U2CQ2Nv0UZeYpE_A,PT3M48S,00:03:48,228,714544,2021-12-14,2021-12-14,Music,"justin bieber christmas eve, christmas eve justin bieber, christmas eve by justin bieber, christmas eve justin bieber lyric, christmas eve lyric video, justin bieber christmas eve official lyric video, justin bieber christmas, justin bieber under the mistletoe, under the mistletoe, christmas music, holiday music, christmas songs, justin bieber christmas music, justin bieber christmas album, justin bieber holiday, christmas eve song, christmas",40214,JustinBieberVEVO,70.5 million subscribers,https://www.youtube.com/UCHkj014U2CQ2Nv0UZeYpE_A,UCHkj014U2CQ2Nv0UZeYpE_A,2022-11-22
